ABRANTES,municipe@cm-abrantes.pt
ÁGUEDA,geral@cm-agueda.pt
AGUIAR DA BEIRA,geral@cm-aguiardabeira.pt
ALANDROAL,cm-alandroal@mail.telepac.pt
ALBERGARIA-A-VELHA,geral@cm-albergaria.pt
ALBUFEIRA,geral@cm-albufeira.pt
ALCáCER DO SAL,secretaria.gap@m-alcacerdosal.pt
ALCANENA,presidencia@cm-alcanena.pt
ALCOBAçA,cmalcobaca@cm-alcobaca.pt
ALCOCHETE,geral@cm-alcochete.pt
ALCOUTIM,geral@cm-alcoutim.pt
ALENQUER,geral@cm-alenquer.pt
ALFâNDEGA DA Fé,gabinetepresidencia.cmaf@gmail.com, correspondencia.cmaf@gmail.com
ALIJó,camara.alijo@cm-alijo.pt
ALJEZUR,geral@cm-aljezur.pt
ALJUSTREL,geral@mun-aljustrel.pt
ALMADA,almadainforma@cma.m-almada.pt
ALMEIDA,camara@cm-almeida.pt
ALMEIRIM,gap@cm-almeirim.pt
ALMODôVAR,geral@cm-almodovar.pt
ALPIARçA,gap@cm-alpiarca.pt
ALTER DO CHãO,geral@cm-alter-chao.pt
ALVAIáZERE,geral@cm-alvaiazere.pt
ALVITO,geral@cm-alvito.pt
AMADORA,geral@cm-amadora.pt
AMARANTE,geral@cm-amarante.pt
AMARES,geral@municipioamares.pt
ANADIA,geral@cm-anadia.pt
ANGRA DO HEROíSMO,angra@cm-ah.pt
ANSIãO,geral@cm-ansiao.pt
ARCOS DE VALDEVEZ,geral@cmav.pt
ARGANIL,geral@cm-arganil.pt
ARMAMAR,geral@cm-armamar.pt
AROUCA,geral@cm-arouca.pt
ARRAIOLOS,geral@cm-arraiolos.pt
ARRONCHES,geral@cm-arronches.pt
ARRUDA DOS VINHOS,cm-arruda@cm-arruda.pt
AVEIRO,geral@cm-aveiro.pt
AVIS,geral@cm-avis.pt
AZAMBUJA,geral@cm-azambuja.pt
BAIãO,geral@cm-baiao.pt
BARCELOS,carlabastos@cm-barcelos.pt
BARRANCOS,geral@cm-barrancos.pt
BARREIRO,geral@cm-barreiro.pt
BATALHA,geral@cm-batalha.pt
BEJA,geral@cm-beja.pt
BELMONTE,cmbelmonte@mail.telepac.pt
BENAVENTE,gap@cm-benavente.pt
BOMBARRAL,geral@cm-bombarral.pt
BORBA,girp@cm-borba.pt
BOTICAS,municipio@cm-boticas.pt
BRAGA,gab.presidencia@cm-braga.pt
BRAGANçA,cmb@cm-braganca.pt
CABECEIRAS DE BASTO,servicoatendimentounico@cabeceirasdebasto.pt
CADAVAL,geral@cm-cadaval.pt
CALDAS DA RAINHA,geral@cm-caldas-rainha.pt
CALHETA (AçORES),geral@cm-calheta.pt
CALHETA (MADEIRA),camara@cmcalheta.pt
CâMARA DE LOBOS,geral@cm-camaradelobos.pt
CAMINHA,geral@cm-caminha.pt
CAMPO MAIOR,geral@cm-campo-maior.pt
CANTANHEDE,geral@cm-cantanhede.pt
CARRAZEDA DE ANSIãES,geral@cmca.pt
CARREGAL DO SAL,geral@cm-carregal.pt
CARTAXO,gap@cm-cartaxo.pt
CASCAIS,atendimento.municipal@cm-cascais.pt
CASTANHEIRA DE PêRA,camara@cm-castanheiradepera.pt
CASTELO BRANCO,camara@cm-castelobranco.pt
CASTELO DE PAIVA,geral@cm-castelo-paiva.pt
CASTELO DE VIDE,cm.castvide@mail.telepac.pt
CASTRO DAIRE,geral@cm-castrodaire.pt
CASTRO MARIM,expediente@cm-castromarim.pt
CASTRO VERDE,geral@cm-castroverde.pt
CELORICO DA BEIRA,geral@cm-celoricodabeira.pt
CELORICO DE BASTO,geral@cm-celoricobasto.pt
CHAMUSCA,cm.chamusca@mail.telepac.pt
CHAVES,municipio@chaves.pt
CINFãES,geral@cm-cinfaes.pt
COIMBRA,geral@cm-coimbra.pt
CONDEIXA-A-NOVA,geral@cm-condeixa.pt
CONSTâNCIA,cmconstancia@mail.telepac.pt
CORUCHE,geral@cm-coruche.pt
CORVO,cmcorvo@mail.telepac.pt
COVILHã,info@cm-covilha.pt
CRATO,geral@cm-crato.pt
CUBA,geral@cm-cuba.pt
ELVAS,geral@cm-elvas.pt
ENTRONCAMENTO,geral@cm-entroncamento.pt
ESPINHO,expediente@cm-espinho.pt
ESPOSENDE,benjamimpereira.presidente@gmail.com
ESTARREJA,geral@cm-estarreja.pt
ESTREMOZ,gap@cm-estremoz.pt
ÉVORA,cmevora@cm-evora.pt
FAFE,geral@cm-fafe.pt
FARO,geral@cm-faro.pt
FELGUEIRAS,gapp@cm-felgueiras.pt
FERREIRA DO ALENTEJO,geral@cm-ferreira-alentejo.pt
FERREIRA DO ZêZERE,geral@cm-ferreiradozezere.pt
FIGUEIRA DA FOZ,municipe@cm-figfoz.pt
FIGUEIRA DE CASTELO RODRIGO,cm-fcr@cm-fcr.pt
FIGUEIRó DOS VINHOS,secretaria@cm-figueirodosvinhos.pt
FORNOS DE ALGODRES,geral@cm-fornosdealgodres.pt
FREIXO DE ESPADA à CINTA,geral@cm-fec.pt
FRONTEIRA,municipio@cm-fronteira.pt
FUNCHAL,cmf@cm-funchal.pt
FUNDãO,geral@cm-fundao.pt
GAVIãO,geral@cm-gaviao.pt
GóIS,correio@cm-gois.pt
GOLEGã,geral@cm-golega.pt
GONDOMAR,geral@cm-gondomar.pt
GOUVEIA,geral@cm-gouveia.pt
GRâNDOLA,gab.presidente@cm-grandola.pt
GUARDA,geral@mun-guarda.pt
GUIMARãES,geral@cm-guimaraes.pt
HORTA,geral@cmhorta.pt
IDANHA-A-NOVA,geral@cm-idanhanova.pt
ÍLHAVO,Geralcmi@cm-ilhavo.pt
LAGOA (AçORES),cmlagoa.az@mail.telepac.pt
LAGOA (ALGARVE),expediente@cm-lagoa.pt
LAGOS,expediente.geral@cm-lagos.pt
LAJES DAS FLORES,geral@cmlajesflores.com
LAJES DO PICO,cmlpico@mail.telepac.pt
LAMEGO,paula.santos@cm-lamego.pt
LEIRIA,cmleiria@cm-leiria.pt
LISBOA,gab.presidente@cm-lisboa.pt
LOULé,gab.comunicacao@cm-loule.pt
LOURES,geral@cm-loures.pt
LOURINHã,geral@cm-lourinha.pt
LOUSã,geral@cm-lousa.pt
LOUSADA,cm-lousada@cm-lousada.pt
MAçãO,geral@cm-macao.pt
MACEDO DE CAVALEIROS,geral@cm-macedodecavaleiros.pt
MACHICO,presidencia@cm-machico.pt
MADALENA,geral@cm-madalena.pt
MAFRA,geral@cm-mafra.pt
MAIA,geral@cm-maia.pt
MANGUALDE,geral@cmmangualde.pt
MANTEIGAS,geral@cm-manteigas.pt
MARCO DE CANAVESES,info@cm-marco-canaveses.pt
MARINHA GRANDE,geral@cm-mgrande.pt
MARVãO,geral@cm-marvao.pt
MATOSINHOS,mail@cm-matosinhos.pt
MEALHADA,gabpresidencia@cm-mealhada.pt
MêDA,cmeda@cm-meda.pt
MELGAçO,geral@cm-melgaco.pt
MéRTOLA,geral@cm-mertola.pt
MESãO FRIO,geral@cm-mesaofrio.pt
MIRA,geral@cm-mira.pt
MIRANDA DO CORVO,camara@cm-mirandadocorvo.pt
MIRANDA DO DOURO,geral@cm-mdouro.pt
MIRANDELA,geral@cm-mirandela.pt
MOGADOURO,geral@mogadouro.pt
MOIMENTA DA BEIRA,cmmbeira@cm-moimenta.pt
MOITA,cmmoita@cm-moita.pt
MONçãO,geral@cm-moncao.pt
MONCHIQUE,geral@cm-monchique.pt
MONDIM DE BASTO,aamaral@cm-mondimdebasto.pt
MONFORTE,cmmonforte@mail.telepac.pt
MONTALEGRE,municipio@cm-montalegre.pt
MONTEMOR-O-NOVO,cmmontemor@cm-montemornovo.pt
MONTEMOR-O-VELHO,geral@cm-montemorvelho.pt
MONTIJO,geral@mun-montijo.pt
MORA,cmmora@mail.telepac.pt
MORTáGUA,mortagua@cm-mortagua.pt
MOURA,cmmoura@cm-moura.pt
MOURãO,gap@cm-mourao.pt
MURçA,gap@cm-murca.pt
MURTOSA,geral@cm-murtosa.pt
NAZARé,geral@cm-nazare.pt
NELAS,cmn@mail.telepac.pt
NISA,geral@cm-nisa.pt
NORDESTE,geral@cmnordeste.pt
ÓBIDOS,geral@cm-obidos.pt
ODEMIRA,geral@cm-odemira.pt
ODIVELAS,geral@cm-odivelas.pt
OEIRAS,geral@cm-oeiras.pt
OLEIROS,geral@cm-oleiros.pt
OLHãO,geral@cm-olhao.pt
OLIVEIRA DE AZEMéIS,geral@cm-oaz.pt
OLIVEIRA DE FRADES,cmofrades@mail.telepac.pt
OLIVEIRA DO BAIRRO,geral@cm-olb.pt
OLIVEIRA DO HOSPITAL,geral@cm-oliveiradohospital.pt
OURéM,geral@mail.cm-ourem.pt
OURIQUE,geral@cmourique.pt
OVAR,gapresidencia@cm-ovar.pt
PAçOS DE FERREIRA,geral@cm-pacosdeferreira.pt
PALMELA,geral@cm-palmela.pt
PAMPILHOSA DA SERRA,municipio@cm-pampilhosadaserra.pt
PAREDES,cmparedes@cm-paredes.pt
PAREDES DE COURA,contacto@cm-paredes-coura.pt
PEDRóGãO GRANDE,geral@cm-pedrogaogrande.pt
PENACOVA,geral@cm-penacova.pt
PENAFIEL,penafiel@cm-penafiel.pt
PENALVA DO CASTELO,geral@cm-penalvadocastelo.pt
PENAMACOR,secretaria.gap@cm-penamacor.pt
PENEDONO,cm-penedono@cm-penedono.pt
PENELA,cmpenela@cm-penela.pt
PENICHE,cmpeniche@cm-peniche.pt
PESO DA RéGUA,cmregua@cmpr.pt
PINHEL,cm-pinhel@cm-pinhel.pt
POMBAL,geral@cm-pombal.pt
PONTA DELGADA,geral@mpdelgada.pt|
PONTA DO SOL,presidencia@cm-pontadosol.pt
PONTE DA BARCA,geral@cmpb.pt
PONTE DE LIMA,geral@cm-pontedelima.pt
PONTE DE SOR,geral@cm-pontedesor.pt
PORTALEGRE,municipio@cm-portalegre.pt
PORTEL,geral@mail.cm-portel.pt
PORTIMãO,geral@cm-portimao.pt
PORTO,geral@cm-porto.pt
PORTO DE MóS,geral@municipio-portodemos.pt
PORTO MONIZ,geral@portomoniz.pt
PORTO SANTO,info@cm-portosanto.pt
PóVOA DE LANHOSO,apoio.presidencia@mun-planhoso.pt
PóVOA DE VARZIM,presidencia@cm-pvarzim.pt
POVOAçãO,geral@cm-povoacao.pt
VILA DA PRAIA DA VITóRIA,geral@cmpv.pt
PROENçA-A-NOVA,geral@cm-proencanova.pt
REDONDO,geral@cm-redondo.pt
REGUENGOS DE MONSARAZ,geral@cm-reguengos-monsaraz.pt
RESENDE,geral@cm-resende.pt
RIBEIRA BRAVA,geral@cm-ribeirabrava.pt
RIBEIRA DE PENA,geral@cm-rpena.pt
RIBEIRA GRANDE,geralcmrg@cm-ribeiragrande.pt
RIO MAIOR,cmriomaior@mail.telepac.pt
SABROSA,geral@cm-sabrosa.pt
SABUGAL,geral@cm-sabugal.pt
SALVATERRA DE MAGOS,geral@cm-salvaterrademagos.pt
SANTA COMBA DãO,geral@cm-santacombadao.pt
SANTA CRUZ,geral@cm-santacruz.pt
SANTA CRUZ DA GRACIOSA,geral@cm-graciosa.pt
SANTA CRUZ DAS FLORES,geral@
SANTA MARIA DA FEIRA,santamariadafeira@cm-feira.pt
SANTA MARTA DE PENAGUIãO,geral@cm-smpenaguiao.pt
SANTANA,secretaria@cm-santana.com
SANTARéM,geral@cm-santarem.pt
SANTIAGO DO CACéM,geral@cm-santiagocacem.pt
SANTO TIRSO,gap@cm-stirso.pt
SãO BRáS DE ALPORTEL,gap@cm-sbras.pt
SãO JOãO DA MADEIRA,geral@cm-sjm.pt
SãO JOãO DA PESQUEIRA,cmsjp@sjpesqueira.pt
SãO PEDRO DO SUL,geral@cm-spsul.pt
SãO ROQUE DO PICO,cmsrp@mail.telepac.pt
SãO VICENTE,geral@cm-saovicente.pt
SARDOAL,geral@cm-sardoal.pt
SáTãO,geral@cm-satao.pt
SEIA,cm-seia@cm-seia.pt
SEIXAL,presidencia@cm-seixal.pt
SERNANCELHE,geral@cm-sernancelhe.pt
SERPA,geral@cm-serpa.pt
SERTã,cmsgeral@cm-serta.pt
SESIMBRA,informacao@cm-sesimbra.pt
SETúBAL,geral@mun-setubal.pt
SEVER DO VOUGA,cm.sever@cm-sever.pt
SILVES,gabinete.presidente@cm-silves.pt
SINES,info@mun-sines.pt
SINTRA,presidencia@cm-sintra.pt
SOBRAL DE MONTE AGRAçO,geral@cm-sobral.pt
SOURE,geral@cm-soure.pt
SOUSEL,geral@cm-sousel.pt
TáBUA,geral@cm-tabua.pt
TABUAçO,geral @cm-tabuaco.pt
TAROUCA,camara@cm-tarouca.pt
TAVIRA,camara@cm-tavira.pt
TERRAS DE BOURO,geral@cm-terrasdebouro.pt
TOMAR,presidencia@cm-tomar.pt
TONDELA,geral@cm-tondela.pt
TORRE DE MONCORVO,geral@cm-moncorvo.pt
TORRES NOVAS,geral@cm-torresnovas.pt
TORRES VEDRAS,geral@cm-tvedras.pt
TRANCOSO,geral@cm-trancoso.pt
TROFA,geral@mun-trofa.pt
VAGOS,cmvagos@cm-vagos.pt
VALE DE CAMBRA,geral@cm-valedecambra.pt
VALENçA,geral@cm-valenca.pt
VALONGO,cmvalongo@cmvalongo.net
VALPAçOS,municipio@valpacos.pt
VELAS,geral@cmvelas.pt
VENDAS NOVAS,geral@cm-vendasnovas.pt
VIANA DO ALENTEJO,camara@cm-vianadoalentejo.pt
VIANA DO CASTELO,chefegab@cm-viana-castelo.pt, geral@cm-viana-castelo.pt
VIDIGUEIRA,geral@cm-vidigueira.pt
VIEIRA DO MINHO,geral@cm-vminho.pt
VILA DE REI,geral@cm-viladerei.pt
VILA DO BISPO,geral@cm-viladobispo.pt
VILA DO CONDE,geral@cm-viladoconde.pt
VILA DO PORTO,geral@cm-viladoporto.pt
VILA FLOR,geral@cm-vilaflor.pt
VILA FRANCA DE XIRA,gap@cm-vfxira.pt
VILA FRANCA DO CAMPO,geral@cmvfc.pt
VILA NOVA DA BARQUINHA,geral@cm-vnbarquinha.pt
VILA NOVA DE CERVEIRA,geral@cm-vncerveira.pt
VILA NOVA DE FAMALICãO,camaramunicipal@vilanovadefamalicao.org
VILA NOVA DE FOZ CôA,correio@cm-fozcoa.pt
VILA NOVA DE GAIA,geral@mail.cm-gaia.pt
VILA NOVA DE PAIVA,geral@cm-vnpaiva.pt
